Category,Sub-Category,Name,URL,Description,Type
Orchestration,Aggregator,Metamcp,https://github.com/robertpelloni/metamcp,Your fork. Acts as a "Master MCP" server to aggregate local tools.,Repo
Orchestration,Automation,Jules Autopilot,https://github.com/robertpelloni/jules-autopilot,Your fork. Python SDK for continuous cloud dev loops.,Repo
Orchestration,Coordination,Zeroshot,https://github.com/covibes/zeroshot,Autonomous engineering team CLI. Runs Planner/Worker/Validator loops with blind verification.,Repo
Orchestration,Manager,Droid Factory,https://github.com/iannuttall/droid-factory,CLI to install custom Factory Droid subagents and delegate work via slash commands.,Repo
Orchestration,Protocol,A2A Protocol,https://github.com/a2aproject/A2A,Standard for Agent-to-Agent communication (Local <-> Cloud).,Repo
Orchestration,Protocol,TaskSync,https://github.com/4regab/TaskSync,Syncs "ToDo" state between CLI agents and Web Dashboards.,Repo
Orchestration,Framework,LangGraph,https://www.langchain.com/langgraph,Stateful DAGs for complex agent workflows.,Website
Orchestration,Framework,OpenHands,https://github.com/OpenHands/OpenHands,Autonomous software engineer (Dockerized).,Repo
Orchestration,Framework,CrewAI,https://www.crewai.com/,Role-playing agent orchestration (Manager, Coder, Reviewer).,Website
Orchestration,Framework,Agentic Ray,https://github.com/rayai-labs/agentic-ray,Distributed agent framework for high-scale parallel tasks.,Repo
Orchestration,Optimization,PocketFlow,https://github.com/The-Pocket/PocketFlow-Tutorial-Cursor/blob/main/blog.md,Strategy for context optimization in coding agents.,Guide
Orchestration,Manager,Code Assistant Manager,https://github.com/Chat2AnyLLM/code-assistant-manager,Unified interface for managing multiple coding assistants.,Repo
Orchestration,Manager,CodeNomad,https://github.com/NeuralNomadsAI/CodeNomad,Roaming agent that moves context between environments.,Repo
Orchestration,Framework,Agent Depot,https://github.com/biagruot/agentdepot-agents,Pre-built agent configurations.,Repo
Orchestration,Framework,Pydantic DeepAgents,https://github.com/vstorm-co/pydantic-deepagents,Structured output agents using Pydantic.,Repo
Orchestration,Framework,Agentic Playground,https://github.com/denniszielke/agentic-playground,Sandbox for testing agent behaviors.,Repo
Orchestration,Protocol,AG UI,https://github.com/ag-ui-protocol/ag-ui,Standard for Agentic User Interfaces.,Repo
Orchestration,Framework,CopilotKit,https://github.com/CopilotKit/CopilotKit,SDK for building Copilots into apps.,Repo
Orchestration,Framework,Self Learning Agents,https://github.com/omdivyatej/Self-Learning-Agents,Agents that improve their own prompts over time.,Repo
Orchestration,Manager,Claude Orchestrator,https://github.com/reshashi/claude-orchestrator,Specific orchestration logic for Claude models.,Repo
Orchestration,Framework,AI Maestro,https://github.com/23blocks-OS/ai-maestro,Maestro pattern implementation.,Repo
Orchestration,Framework,Agentic Cluster,https://github.com/Cluster444/agentic,Clustered agent management.,Repo
Orchestration,Framework,OpenAgents,https://github.com/darrenhinde/OpenAgents,Open platform for autonomous agents.,Repo
Orchestration,Framework,Hello Agents,https://github.com/datawhalechina/hello-agents,Educational repo for learning agent orchestration.,Repo
Orchestration,Framework,Reag,https://github.com/superagent-ai/reag,React-based agent generation.,Repo
Orchestration,Manager,Task Orchestrator,https://github.com/TC407-api/task-orchestrator,Task delegation system.,Repo
Orchestration,Manager,Droid CLI Orch,https://github.com/aeitroc/Droid-CLI-Orchestrator,CLI for orchestrating Factory Droids.,Repo
CLI Harness,Foundation,Opencode,https://github.com/anomalyco/opencode,The "Gold Standard" TUI harness. Written in Go (BubbleTea).,Repo
CLI Harness,Foundation,Trae Agent,https://github.com/bytedance/trae-agent,Python-based agent logic. Features "Trajectory" logging.,Repo
CLI Harness,Foundation,CodeMachine,https://github.com/moazbuilds/CodeMachine-CLI,Manifest-driven architect. Maintains `project_state.json`.,Repo
CLI Harness,Foundation,Factory Droid,https://github.com/factory-ai/factory,Enterprise-grade agent with "Runbooks" and "Guardrails".,Repo
CLI Harness,Foundation,CodeBuff,https://github.com/CodebuffAI/codebuff,Focus on "Flow State" (fast, low-friction edits).,Repo
CLI Harness,Proprietary,Claude Code,https://github.com/anthropics/claude-code,Anthropic's official CLI. Reference for "Deep Research" features.,Repo
CLI Harness,Proprietary,Copilot CLI,https://github.com/github/copilot-cli,GitHub's official CLI. Reference for "Explanation" features.,Repo
CLI Harness,Workflow,Workty,https://github.com/binbandit/workty,Git worktrees as "daily driver" workspaces. Reduces context switching.,Repo
CLI Harness,Wrapper,Emdash,https://github.com/generalaction/emdash,Unified dashboard wrapping multiple CLI tools.,Repo
CLI Harness,Wrapper,Amped,https://github.com/slashtechno/amped,Accelerator/Wrapper for AI coding workflows.,Repo
CLI Harness,Router,Claude Code Router,https://github.com/musistudio/claude-code-router,Routes prompts between models to save costs.,Repo
CLI Harness,Router,Gemini Router,https://github.com/takltc/gemini-router,Routes requests specifically for Gemini models.,Repo
CLI Harness,Extension,CCS (Claude Switch),https://github.com/kaitranntt/ccs,Context switcher for Claude Code profiles.,Repo
CLI Harness,Extension,Lynkr,https://github.com/vishalveerareddy123/Lynkr,Links local context to LLMs via CLI.,Repo
CLI Harness,Router,Gemini CLI Router,https://github.com/Jasonzhangf/gemini-cli-router,Another Gemini-specific router.,Repo
CLI Harness,Router,Zhifac Router,https://github.com/zhifac/gemini-cli-router,Alternative Gemini router implementation.,Repo
CLI Harness,Adapter,CC OpenRouter,https://github.com/derek-larson14/claude-code-openrouter,Adapter to use OpenRouter with Claude Code.,Repo
CLI Harness,Proxy,CC Proxy,https://github.com/starbased-co/ccproxy,Proxy server for intercepting Claude Code traffic.,Repo
CLI Harness,Router,Google Gemini Router,https://github.com/Dhatchinamoorthy/GoogleGeminiRouter,Router focused on Google's models.,Repo
CLI Harness,Utility,CC Switch CLI,https://github.com/SaladDay/cc-switch-cli,CLI tool for fast profile switching.,Repo
CLI Harness,Bridge,Gemini SuperClaude,https://github.com/Dianel555/gemini-superclaude-mcp-server,Makes Gemini behave like Claude via MCP.,Repo
CLI Harness,Framework,SuperClaude,https://github.com/SuperClaude-Org/SuperClaude_Framework/tree/master,Framework for extending Claude's capabilities.,Repo
CLI Harness,Tool,SplitRail,https://github.com/Piebald-AI/splitrail,Parallel execution tool for CLI tasks.,Repo
CLI Harness,List,Awesome Opencode,https://github.com/awesome-opencode/awesome-opencode,Curated list of Opencode resources.,Repo
CLI Harness,Website,Dropstone,https://www.dropstone.io/features,Features page for Dropstone AI.,Website
CLI Harness,List,Awesome Copilot,https://github.com/github/awesome-copilot,Curated list of Copilot extensions.,Repo
CLI Harness,Wrapper,Opencode GUI,https://github.com/milisp/opencode-gui,Graphical wrapper for the Opencode CLI.,Repo
CLI Harness,Wrapper,Opencode Web,https://github.com/chris-tse/opencode-web,Web interface for Opencode.,Repo
CLI Harness,Docs,Opencode Plugins,https://opencode.ai/docs/plugins/,Documentation for writing Opencode plugins.,Documentation
CLI Harness,Tool,Happy,https://github.com/slopus/happy,Developer happiness CLI tool.,Repo
CLI Harness,Automation,Schaltwerk,https://github.com/2mawi2/schaltwerk,Automation framework connecting CLI tools.,Repo
CLI Harness,Server,CC MCP,https://github.com/steipete/claude-code-mcp,MCP server implementation of Claude Code.,Repo
CLI Harness,Collection,Claude Tools,https://github.com/brwse/claude-tools-mcp,Collection of tools for Claude.,Repo
CLI Harness,Lib,Multi Agent Orch,https://github.com/priyan-coder/multi-agent-orchestration,Library for CLI agent orchestration.,Repo
CLI Harness,Examples,Amp Examples,https://github.com/sourcegraph/amp-examples-and-guides,Guides for Sourcegraph Amp.,Repo
CLI Harness,List,Awesome Amp,https://github.com/jdorfman/awesome-amp-code,Awesome list for Amp Code.,Repo
CLI Harness,Platform,Nimbalyst,https://nimbalyst.com/,AI coding platform.,Website
CLI Harness,Config,Oh My Opencode,https://github.com/code-yeongyu/oh-my-opencode,Configuration framework (like Oh My Zsh).,Repo
CLI Harness,Hooks,Claude Hooks,https://github.com/TheNoeTrevino/claude-hooks,Lifecycle hooks for Claude Code.,Repo
CLI Harness,Assistant,LLXpert,https://github.com/vybestack/llxprt-code,Expert coding assistant CLI.,Repo
CLI Harness,Alpha,OpenQode,https://github.com/roman-ryzenadvanced/OpenQode-Public-Alpha-GooseUltra-,Public alpha of OpenQode.,Repo
CLI Harness,Interface,Grok CLI,https://github.com/superagent-ai/grok-cli,CLI for X.AI's Grok.,Repo
CLI Harness,Model,Qwen Code,https://github.com/QwenLM/qwen-code,Code-specialized Qwen models.,Repo
CLI Harness,Tool,Just Every Code,https://github.com/just-every/code,Universal coding CLI.,Repo
CLI Harness,Integration,SST Opencode,https://github.com/sst/opencode,Serverless Stack integration.,Repo
CLI Harness,TUI,Crush,https://github.com/charmbracelet/crush,TUI tool built with Charm.sh.,Repo
CLI Harness,Legacy,OpenAI Codex,https://github.com/openai/codex,Original Codex repository.,Repo
CLI Harness,Model,Kimi CLI,https://github.com/MoonshotAI/kimi-cli,CLI for Moonshot's Kimi (Long Context).,Repo
CLI Harness,Website,Amp Site,https://ampcode.com/,Official Amp Code site.,Website
CLI Harness,Website,Qoder,https://qoder.com/referral,Qoder coding tool.,Website
CLI Harness,Agent,Goose,https://github.com/block/goose,Block's open source agent.,Repo
CLI Harness,Proxy,LiteLLM,https://github.com/BerriAI/litellm,Universal LLM Proxy.,Repo
CLI Harness,Chat,AIChat,https://github.com/sigoden/aichat,All-in-one CLI chat.,Repo
CLI Harness,Engine,Plandex,https://github.com/plandex-ai/plandex,Complex task planning engine.,Repo
CLI Harness,Tool,Kode CLI,https://github.com/shareAI-lab/Kode-cli,Context sharing CLI.,Repo
CLI Harness,Assistant,Augment Code,https://github.com/augmentcode,Fast AI assistant for large codebases.,Repo
CLI Harness,Fork,CodeMachine Fork,https://github.com/robertpelloni/CodeMachine-CLI,Your fork of CodeMachine.,Repo
CLI Harness,Fork,MCP CLI Fork,https://github.com/robertpelloni/mcp-cli,Your fork of MCP CLI.,Repo
MCP Directory,General,Awesome MCP (Punkpeye),https://github.com/punkpeye/awesome-mcp-servers,The most comprehensive curated list of MCP servers.,Repo
MCP Directory,General,Awesome MCP (AppCypher),https://github.com/appcypher/awesome-mcp-servers,Another high-quality directory of MCP tools.,Repo
MCP Directory,General,Awesome MCP (Wong2),https://github.com/wong2/awesome-mcp-servers,Community-maintained list of MCP servers.,Repo
MCP Directory,Platform,Glama MCP,https://glama.ai/mcp/servers,Web-based directory for Glama users.,Website
MCP Directory,Platform,Smithery,https://smithery.ai/server/@smithery/toolbox,Dynamic discovery engine for MCP tools.,Website
MCP Directory,Platform,PulseMCP,https://www.pulsemcp.com/servers,Analytics and health monitoring for MCP servers.,Website
